energies[eV] proba(E)
0.915457728864 0.598944407143 
0.920460230115 0.595102864328 
0.925462731366 0.591285836085 
0.930465232616 0.586159110547 
0.935467733867 0.582398985114 
0.940470235118 0.578662862209 
0.945472736368 0.574950590121 
0.950475237619 0.571262018083 
0.955477738869 0.56759699626 
0.96048024012 0.557563005933 
0.965482741371 0.553985170363 
0.970485242621 0.550430188381 
0.975487743872 0.546897915352 
0.980490245123 0.543388207541 
0.985492746373 0.539900922103 
0.990495247624 0.536435917084 
0.995497748874 0.530609493867 
1.00050025013 0.527203483757 
1.00550275138 0.523819244174 
1.01050525263 0.520456637153 
1.01550775388 0.517115525589 
1.02051025513 0.513795773229 
1.02551275638 0.515928305489 
1.03051525763 0.512615818371 
1.03551775888 0.509324513177 
1.04052026013 0.506054255554 
1.04552276138 0.502804911988 
